smiles,u0_atom
[H]C(=C1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H],-1.702514939
[H]C([H])([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],-1.327980767
[H]N([H])C([H])([H])C([H])(OC([H])([H])[H])OC([H])([H])[H],-0.468140397
[H]C(=O)C#CC([H])([H])C([H])([H])[H],1.241984069
[H]OC1([H])C([H])([H])C1([H])C#CC([H])([H])[H],-0.017784141
[H]O[N][C]([H])C([H])(O[H])C([H])=C([H])[H],1.54491348
[H]C([H])([H])OC([H])([H])C1([H])N(C([H])([H])[H])C1([H])[H],-0.688338494
[H]N([H])C([H])([H])C#CC1([H])OC1([H])[H],0.595208239
[H]C(C#CC([H])([H])N([H])[H])=C([H])C([H])([H])[H],-1.683806176
[H][C]([H])[N]N([H])C([H])([H])C#CC([H])([H])[H],0.30129672
[H]OC1([H])C(=C([H])[H])C([H])([H])C([H])([H])C1([H])[H],-0.807096514
[H]C1=NN([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],-1.654778432
[H]N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H],-0.425518516
[H]C1=C([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C1([H])[H],-1.704264679
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],-2.248703129
[H]C([H])=C1C(=O)C([H])([H])OC1([H])[H],0.685521762
[H]C([H])=C([H])C([H])=C([H])C#CC([H])([H])[H],-0.332872006
[H]N([H])N1C(=O)C([H])([H])C([H])([H])C1([H])[H],-1.647510279
[H]OC1(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],-1.362212867
[H]N1C([H])(C([H])([H])[H])C1([H])C1([H])C([H])([H])C1([H])[H],-1.69327272
[H]C#CC1=NSN=C1[H],1.788890101
[H]C#CC([H])=C(C#N)C([H])([H])[H],-1.690266756
[H]C([H])=C([H])C(=O)C1([H])C([H])([H])C1([H])[H],-0.15538552
[H]C([H])([H])C#CC(=O)C#N,1.691398156
[H]OC([H])(C([H])([H])[H])C1(O[H])C([H])([H])C1([H])[H],-0.476171256
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-1.454859377
[H]OC1C(=NOC=1[H])C([H])([H])[H],1.283843242
[H]C#CC1([H])OC([H])([H])C1([H])C([H])([H])[H],0.015550656
[H]C1=C([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])N([H])[H],1.292771405
[H]OC1=C([H])OC([H])=C1[H],1.978310714
[H]C#CC1([H])OC([H])([H])C1([H])O[H],0.911148541
[H]C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-0.851961652
[H]C#CC#CC(=O)N([H])[H],0.379720981
[H]C#CC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H],-0.954927144
[H]N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-1.783541378
[H]C#CC#CC([H])([H])C([H])=C([H])[H],0.460298769
[H]C1OC(=C([H])C=1[H])C([H])([H])[H],1.064542448
[H]OC([H])(C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-1.385587604
[H]C#CC([H])(N([H])[N][C]([H])[H])C([H])([H])[H],0.326331467
[H]N([H])C([H])([H])C1([H])C([H])([H])N(C([H])([H])[H])C1([H])[H],-1.043849848
[H]C1OC([H])(OC=1[H])C([H])([H])C([H])([H])[H],0.122284819
[H]C1=NOC([H])([H])C([H])([H])C1([H])[H],1.217442838
[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-2.303887248
[H]C#CC(=C([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.91943882
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.383803709
[H]C(OC([H])([H])[H])=C([H])C1([H])OC1([H])[H],0.246920173
[H]N=C(N([H])C([H])=O)C([H])([H])C([H])([H])[H],0.223635166
[H]OC(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.042998349
[H]ON=C(C([H])=O)C([H])([H])C([H])([H])[H],0.758921128
[H]C1=C([H])C([H])([H])C(=O)N1N([H])[H],0.263295948
[H]C(=O)S(=O)(=O)C([H])=C([H])[H],0.804683568
[H]N1C([H])([H])C([H])([H])C2(C1([H])[H])C([H])([H])C2([H])[H],-1.076197612
[H]N1C2([H])C([H])([H])C1([H])C1([H])N([H])C21[H],0.296855071
[H]OC(=O)C([H])([H])C([H])([H])C([H])=C([H])[H],0.01837716
[H]C(=O)N1N([H])C([H])([H])C([H])([H])C1([H])[H],0.725317139
[H]OC([H])([H])C1([H])N(C([H])([H])[H])C1([H])[H],0.595926081
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],-0.116487445
[H]C#CC([H])([H])C1([H])C([H])([H])C1([H])N([H])[H],-0.319502194
[H]OC([H])([H])C(=NN([H])[H])C([H])=C([H])[H],0.485064325
[H]N([H])C([H])([H])C#CC1([H])OC1([H])[H],0.595208239
[H]C#CC([H])(O[H])C([H])(O[H])C([H])([H])[H],0.235434697
[H]C#CC([H])=C([H])C([H])([H])O[H],1.305019588
[H]C([H])=C([H])C1(N([H])[H])C([H])([H])OC1([H])[H],-0.09549056
[H]C([H])=C([H])C([H])=C([H])C#N,1.438448508
[H]C([H])=C([H])C([H])([H])C(=O)C([H])([H])[H],0.528628374
[H]C(=C([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-1.665904986
[H]C#CC([H])([H])C#CC#N,-1.690311621
[H]OC1([H])C(=C([H])OC1([H])[H])C([H])([H])[H],0.08195106
[H]N([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],-1.660521169
[H]N=C1N([H])OC([H])([H])C([H])([H])C1([H])[H],0.438898098
[H]C1C(=NN([H])C([H])([H])C=1[H])C([H])([H])[H],0.850670335
[H]N1C([H])([H])C([H])([H])C([H])(N([H])[H])C1([H])C([H])([H])[H],-0.496674624
[H]C([H])=C([H])OC([H])(C#N)C([H])([H])[H],0.424989906
[H]C1=NC([H])([H])C([H])([H])C([H])([H])C([H])([H])N1[H],-0.572406977
[H]OC1([H])C2([H])N([H])C1([H])C([H])([H])C2([H])[H],-0.169024522
[H]OC([H])([H])C([H])([H])C(N([H])[H])(C([H])([H])[H])C([H])([H])[H],-1.456609117
[H]C([H])(C#N)C(=O)C([H])([H])C([H])([H])[H],0.317358439
[H]N1C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C1([H])[H],-0.801488372
[H]N1C([H])([H])C1(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],-1.052105033
[H]C([H])=C([H])C([H])([H])C(=O)OC([H])([H])[H],0.046328141
[H]C1=NOC([H])([H])OC([H])([H])C1([H])[H],0.822270703
[H]N(C([H])([H])C#N)C1([H])C([H])([H])C1([H])[H],0.11932372
[H]C(=O)S(=O)(=O)C([H])=C([H])[H],0.804683568
[H]C([H])([H])OC([H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])[H],-1.314700686
[H]C#CC1([H])C([H])=C([H])C([H])=C1[H],0.281466329
[H]C([H])=C([H])C(=C([H])[H])C1([H])C([H])([H])C1([H])[H],-0.971931031
[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])OC1([H])[H],-0.750790766
[H]OC([H])(C([H])([H])N([H])[H])C([H])(N([H])[H])C([H])([H])[H],-0.872734211
[H]OC1=C([H])OC([H])=C1[H],1.978310714
[H]C1([H])C2([H])C([H])([H])C1([H])C1([H])OC12[H],0.045789759
[H]C([H])=C([H])C([H])([H])C([H])([H])OC([H])([H])[H],0.011153873
[H]ON=C1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.461510128
[H]OC1([H])C([H])([H])C1([H])C([H])([H])N([H])[H],0.576320016
[H]C#CC([H])([H])C([H])(N([H])[H])C([H])([H])O[H],-0.104239262
[H]C(=O)C#CC1([H])OC1([H])[H],1.506957574
[H][C]([N]N([H])[H])C([H])([H])C(=C([H])[H])C([H])([H])[H],-0.420269294
[H]C#CC([H])([H])C#CC([H])=C([H])[H],0.436789437
[H]C#CC([H])([H])C(N([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.981307845
[H]N=C(N([H])[H])C1([H])C([H])([H])C1([H])O[H],0.407627097
[H]C#CC([H])([H])C(=N[H])N([H])O[H],0.850221684
[H]N1C([H])([H])C2([H])C([H])([H])C1(C([H])([H])[H])C2([H])[H],-1.062693206
[H]C([H])([H])C(=O)C1([H])N(C([H])([H])[H])C1([H])[H],-0.165973692
[H]C1SC(OC([H])([H])[H])=C([H])C=1[H],1.368369162
[H]N([H])C([H])(C([H])([H])[H])C1([H])OC([H])([H])C1([H])[H],-0.760212445
[H]C([H])([H])C1([H])C2([H])C([H])([H])OC([H])([H])C12[H],-0.744105861
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C1([H])[H],-1.626019878
[H]C([H])=C(C(=O)N([H])C([H])([H])[H])C([H])([H])[H],-0.303709666
[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.42179377
[H]C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H],0.531589473
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])(N([H])[H])C([H])([H])[H],-1.689683509
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-2.353463226
[H]C([H])([H])C([H])([H])C1(OC([H])([H])C1([H])[H])C([H])([H])[H],-1.359610689
[H]C(=O)C([H])([H])C#CC#N,0.622037592
[H]C1C(=NOC=1C([H])([H])[H])N([H])[H],0.91899994
[H]OC1([H])C([H])([H])C([H])=C([H])C1([H])[H],0.513598553
[H]OC1([H])C([H])([H])OC1([H])C([H])([H])[H],0.867763953
[H]ON([H])C(=NC([H])=C([H])[H])C([H])([H])[H],0.50274119
[H]C1=C([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C([H])([H])[H],-1.700720333
[H]N1C([H])([H])C1([H])C#N,2.77682044
[H]C1=NN([H])C([H])([H])C2([H])C([H])([H])C12[H],0.182269509
[H]C#CC(=N[H])N([H])C([H])=O,0.899842526
[H]OC(=O)C(=C([H])[H])C([H])([H])[H],1.334271657
[H]N([H])C1([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],-1.144661813
[H]N([H])C1([H])C([H])([H])C2([H])N([H])C2([H])C1([H])[H],-0.500936813
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.084957025
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0.705352153
[H]N1C([H])([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.285638787
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.405832492
[H]C([H])([H])N1C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],-1.633602087
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],-2.247222579
[H]C(C#N)=C([H])N([H])[H],2.669144109
[H]C#CC#CC([H])([H])C([H])=C([H])[H],0.460298769
[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],1.306051486
[H][C]([N]OC([H])([H])[H])C([H])([H])C([H])([H])[H],0.646309631
[H]N([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-0.300703702
[H]ON=C(OC([H])([H])[H])C([H])=C([H])[H],0.81334254
[H][C]([N]N([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-0.396535636
[H]C(OC([H])([H])[H])=C([H])C([H])([H])OC([H])([H])[H],-0.406675158
[H]C([H])([H])C1([H])C(=O)OC1([H])[H],1.338623576
[H]N=C([H])N(C([H])=C([H])[H])C([H])=C([H])[H],0.132289745
[H]C1=NOC2([H])C([H])([H])C2([H])C1([H])[H],0.756767601
[H]N1C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],-0.314297838
[H]C([H])=C(C([H])([H])[H])C([H])(N([H])C([H])([H])[H])C([H])([H])[H],-1.65904062
[H]C1([H])N2C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[H],-1.056771007
[H]C1([H])C2([H])OC1([H])C1([H])OC21[H],0.983246818
[H]C#CC([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-0.899114912
[H]N([H])C1(C([H])([H])C1([H])[H])C1([H])OC1([H])[H],-0.091183507
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])O[H],-0.559216627
[H]C1OC([H])([H])C([H])([H])C=1C([H])([H])[H],0.52562241
[H]OC([H])([H])C(=NOC([H])([H])[H])C([H])([H])[H],0.202548551
[H]OC([H])(C([H])=C([H])[H])C([H])([H])C([H])=C([H])[H],-0.71624461
[H]C1=NN(C(=C1[H])C([H])([H])[H])C([H])([H])[H],-0.489227012
[H]C([H])=C([H])C1([H])N([H])C1([H])C([H])([H])N([H])[H],-0.416949274
[H]C1=C([H])C([H])(OC([H])([H])[H])OC1([H])[H],0.139468167
[H]C([H])=C1C(=O)N([H])C([H])([H])C1([H])[H],0.247279094
[H]OC([H])(C([H])=O)C([H])([H])C([H])=C([H])[H],0.113580983
[H]OC([H])([H])C([H])(OC([H])([H])[H])C([H])([H])N([H])[H],-0.497302736
[H]OC(C#CC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.701708305
[H]C#CC([H])([H])C([H])([H])C#C[H],1.121207117
[H]C1([H])C(=O)C([H])([H])C1([H])C#N,0.408838456
[H]C([H])=C([H])C([H])=C([H])C([H])=C([H])C([H])([H])[H],-1.029178947
[H]C#CC(=NN([H])[H])C([H])=C([H])[H],0.931786504
[H]C([H])=C(C(=O)C([H])([H])[H])C([H])([H])[H],0.505029312
[H]C([H])([H])OC([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],-1.307073612
[H]C1=C(C#N)C([H])([H])C([H])([H])C1([H])[H],0.032150757
[H]OC([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])N([H])[H],1.210354146
[H]C([H])=C([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-1.682505087
[H]N([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],-0.270599194
[H]C(=O)OC([H])([H])C1([H])N([H])C1([H])[H],0.633702528
[H][N][C]1N([H])C(=C([H])[H])C([H])([H])C1([H])[H],0.800197055
[H]N(C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-0.98126298
[H]N([H])C([H])([H])C([H])(N([H])[H])C1([H])C([H])([H])C1([H])[H],-1.088849581
[H][C]([H])[N]N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-0.427986098
[H]C#CC([H])=C([H])[H],3.071360071
[H]C([H])=C([H])OC([H])([H])OC([H])([H])C([H])([H])[H],-0.4367348
[H]C#CC([H])([H])C#CC([H])([H])N([H])[H],0.373350132
[H]C#CC([H])([H])OC([H])([H])C([H])([H])O[H],0.290080436
[H]C(=O)C1([H])OC1([H])C([H])=C([H])[H],0.821597726
[H]C1C(=O)C2([H])OC2([H])C=1[H],1.366664287
[H]C([H])([H])N1C([H])(C([H])([H])[H])C1([H])C([H])([H])[H],-0.310080516
[H]C1C([H])=C([H])C(C=1[H])(C([H])([H])[H])C([H])([H])[H],-1.079786823
[H]C1C(=O)SN(C=1[H])C([H])([H])[H],1.274421563
[H][C]1O[N][C]2OC([H])([H])[C]12,2.230677115
[H]C#CC([H])=C([H])C([H])(N([H])[H])C([H])([H])[H],-0.347946692
[H]C1OC([H])(C([H])([H])[H])C([H])(C=1[H])C([H])([H])[H],-0.807859222
[H]OC([H])([H])C(C#N)=C([H])N([H])[H],1.51234139
[H]OC([H])([H])C1=NOC([H])([H])C1([H])[H],-0.7585973
[H]C(=O)N1C([H])([H])C1([H])C([H])([H])C([H])([H])[H],-0.174094282
[H]C(=O)C([H])=C([H])C([H])([H])[H],1.852149945
[H]OC([H])([H])C([H])([H])OC1([H])C([H])([H])C1([H])[H],-0.409277336
[H]OC([H])(C([H])([H])[H])C([H])(C#N)C([H])([H])[H],-0.25633208
[H]N1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0.792255925
[H]N([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-1.668507164
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.648508023
[H]O[N][C]([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.602610987
[H]C1=NOC([H])([H])C([H])=C1C([H])([H])[H],0.513374227
[H]C([H])([H])C([H])([H])C([H])(C#N)C#N,0.638637693
[H]OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])[H],-0.088626194
[H]C([H])=C([H])C(=NN([H])[H])C([H])([H])[H],0.901457671
[H]C([H])=C([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],-1.619065782
[H]C([H])=C([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])[H],-1.620456601
[H]C([H])=C(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C1([H])[H],-1.590486689
[H]C#CC#CC([H])([H])C([H])([H])O[H],0.700596448
[H]C([H])=C([H])C1([H])C([H])=C([H])C([H])([H])N1[H],0.0347978
[H]C(=O)C1([H])C([H])=NOC1([H])[H],1.174462036
[H]N=C([H])N([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],-0.515248792
[H]C1C(=NC([H])([H])[H])SN([H])C=1[H],1.052967242
[H][C]([N]N([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-1.041920647
[H]OC([H])([H])C([H])=C([H])C1([H])N([H])C1([H])[H],0.596374733
[H]OC1(C([H])=C([H])C([H])=C1[H])C([H])([H])[H],-0.178984582
[H]N([H])C(=O)N([H])C1([H])C([H])([H])C1([H])[H],0.226237344
[H]OC1C([H])=C(O[H])N([H])C=1[H],0.06553042
[H]N=C(N([H])[H])C([H])(O[H])C([H])=C([H])[H],0.358006255
[H]C([H])([H])C12OC1([H])C([H])([H])C([H])([H])C2([H])[H],-0.788701808
[H]C#CC(=C([H])[H])C1([H])N([H])C1([H])[H],-0.299088557
[H]N(C(=O)C([H])([H])[H])N([H])C([H])([H])C([H])([H])[H],-0.279751682
[H]ON1N=C([H])C(=C1[H])C([H])([H])[H],1.036636332
[H]C([H])=C([H])C([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])[H],-1.611438708
[H]C1OC(=O)C([H])(C=1[H])N([H])[H],1.184825883
[H]C1=C(C#N)C([H])([H])OC1([H])[H],0.969787276
[H]C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H],0.510323398
[H]C(=O)C([H])([H])C1([H])N([H])C1([H])C([H])([H])[H],-0.178401335
[H]C([H])([H])C([H])([H])[H],3.734646271
[H]OC1([H])C([H])=C([H])C([H])([H])C1([H])[H],0.515572619
[H]C1=NN([H])C([H])([H])C([H])(O1)C([H])([H])[H],0.364287374
[H]OC(=O)C([H])([H])C#CC([H])([H])[H],0.684355268
[H]C([H])=C([H])C([H])(C#N)C#N,1.307352575
[H]N([H])C(=O)C1([H])OC1([H])C([H])([H])[H],0.618134325
[H]C([H])([H])C1([H])N2C([H])([H])C2([H])C([H])([H])C1([H])[H],-0.800725665
[H]C([H])=C(OC([H])([H])OC([H])([H])[H])C([H])([H])[H],-0.439785629
[H]C#C[C]([H])[N]OC([H])=O,1.0767009
[H]C([H])=C([H])C(=NN([H])[H])C([H])([H])[H],0.901457671
[H]C#CC([H])(N([H])[H])C([H])([H])C([H])([H])O[H],-0.130889154
[H]N1C(=O)C2([H])N([H])C2([H])C1([H])[H],1.729578388
[H]OC([H])([H])C([H])=C([H])C([H])(N([H])[H])C([H])([H])[H],-0.792380749
[H]OC([H])([H])C1([H])N([H])C([H])([H])C1([H])[H],0.569994032
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])C#N,-0.492591897
[H]C(=O)C(=C([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-0.798168352
[H]N([H])C1([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])N([H])[H],0.434097529
[H][C]1ON=C2[C]1C([H])([H])N2[H],1.826801142
[H]OC([H])([H])C1(N([H])C1([H])[H])C([H])([H])C([H])([H])[H],-0.750970227
[H]C1=NN([H])C([H])([H])C([H])(O1)C([H])([H])[H],0.364287374
[H]C([H])([H])C1([H])OC([H])([H])C([H])(O1)C([H])([H])[H],-0.539520831
[H]N1C([H])(C#CC([H])([H])[H])C1([H])C([H])([H])[H],-0.995574959
[H]C1OC(=C([H])C=1[H])N([H])C([H])([H])[H],0.339252627
[H]N=C([H])N(C([H])([H])[H])C([H])([H])C([H])=O,0.369357134
[H]C#CC([H])([H])[C]([H])[N][N][C]([H])[H],0.917968042
[H]C#CC(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.89996735
[H]N([H])C12C([H])([H])N(C([H])([H])C1([H])[H])C2([H])[H],-0.419730913
[H]C#CC1=NN([H])C([H])=C1[H],-0.512242827
[H]C#CC(=O)N([H])C([H])([H])[H],1.767758621
[H]N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H],-0.088715925
[H]C1=NOC([H])(O1)C([H])=C([H])[H],1.406863451
[H]C#CC([H])([H])C([H])([H])N([H])[N][C]([H])[H],0.320229808
[H]N(C(=O)C([H])(N([H])[H])C([H])([H])[H])C([H])([H])[H],-0.372622518
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H],0.285683652
[H]N1C([H])([H])C1(C([H])([H])[H])C1([H])OC1([H])[H],-0.075570439
[H][N]C1=C([H])[C]([H])C([H])([H])N1[H],1.338892767
[H]C(=O)N([H])C([H])([H])[H],3.072481699
[H]C1=C([H])C2([H])N([H])C1([H])C2([H])[H],1.021830836
[H][C]([N]N([H])C([H])([H])[H])C([H])([H])C#N,0.718632234
[H]C#CC([H])(N([H])[H])C([H])(O[H])C([H])([H])[H],-0.076961258
[H]OC([H])([H])C([H])=C([H])C#CC([H])([H])[H],-0.059733045
[H]C(OC([H])([H])[H])=C([H])C1([H])N([H])C1([H])[H],-0.083152647
[H]C#CC1([H])OC1([H])C([H])=C([H])[H],0.677446037
