smiles,heat_capacity
OC1C2C1C1OCC21,25.962
O=COC12CC3C1OC23,27.088
FC1=CC(=N)C=C(F)N1,28.027
CC(CC#C)C(C)(C)C,43.665
COC1CCC(CO)C1,36.586
CCC12NC1CC21CC1,34.897
CC(O)C1(O)CCCC1,37.641
CC1OC11CC2CC1O2,30.391
O=C1CC2CC3(CC3)C12,30.833
NC1CC(OC1=N)C#N,30.536
OC(CC#C)C(=O)C#N,32.919
CCCC1CC11CCC1,37.837
CCC1(CN1C=O)C#C,34.92
CC12NC1CCNC2=O,31.785
OC1CN2CC2C1C=O,30.053
Cn1ccc2c1CC=C2,29.747
CN1CCC(N)C1C#N,34.347
c1cncc(c1N)C#N,28.28
C1CC1(C#N)C(=O)C#N,29.32
CC12OC1C1OCC21,26.016
CC1(O)C2C3C2C1C3O,33.305
[O-]C(=O)C1[NH2+]CC2NC12,28.771
CCOc1nc(on1)N,31.106
CC1=CC2NC2C2CC12,31.162
CCC1CC(O)C(=O)O1,33.248
CCC1OC(C)C=C1C,37.664
CCC1(CO)COC=N1,33.989
Cc1nc(=O)[nH]nn1,23.833
CC#CC1CN1C(C)C,38.77
CN1C(=O)C2(C)CC12C,35.601
COCCC(O)CC#C,39.183
CCC(O)C1OCC1=O,34.478
Cc1cn2ccnc2o1,26.754
CC1=CC(=O)C(=N)OC1,30.317
c1nc2c(o1)C=CC2,21.761
C1C2C3C2C2CC3OC12,25.296
N#CC12CC1C=CCC2,30.058
CN=C1C=COC(C)=C1,32.09
CC1=CCC2CC=CC12,31.593
C1C(CNC(=O)N1)C=O,30.881
CCC(C)C(=O)C#CC,39.016
C#CC1CC=C(C1)C#N,30.855
CC1OC(C)C(O1)C=O,33.474
Cc1coc(c1CO)N,34.201
CC12OCC3C4C1N4C23,27.554
FC1=NC=CC(=N)O1,22.157
OC1CC2CC2C11CO1,31.787
C1CC(=O)OC1,18.482
OCC(O)C1NCC1=O,33.597
CC12OCC1CC2=NO,32.499
CCC(=O)C(O)CO,33.171
OCCC1CCCC1O,37.108
CC12C3C4C3N1C4C2=O,27.375
CCC1(CO)CC1C=O,37.326
[O-]C(=O)C1CCCC[NH2+]1,31.544
Cc1c(c([nH]n1)O)N,29.296
c1[nH]c2c(n1)C=CC2,22.977
C1C2(CO1)COC=N2,24.138
CC(CC#N)C1(C)CN1,36.836
CN1C=NCC(O)C1=N,31.924
CCC1CCC(O)CC1,37.994
CN(CCO)CC#N,32.106
C#CCC1=NCC(=O)N1,30.529
N=C1OC(=O)C(=C1)C#C,27.341
CCOC(CC)C1CO1,38.319
CCOC=NC1(CC1)C,37.767
OCC12CC(C1)C2C=O,32.225
CCC(C)CC1(C)CO1,40.783
CC(=O)C12OC1CC=C2,30.719
N=C1OC(C#C)C2CN12,28.736
CC1(CCO)C2CC1C2,35.84
ON=C1C=CC2CC12O,31.164
O=CN1C2C3C=CC1C23,26.611
OC1=CNC=C1C1CN1,31.1
O=CC1CC(O1)C=O,26.177
N=C1OC2C3NC12C=C3,26.704
CN1C2C(O)C1C2(C)C,36.794
C(N1CC1)C12CC1CO2,31.683
N=C1OC=CC(C=O)=N1,26.811
O=CC1CN1C=O,22.674
CC(C)CCOCC#N,38.319
CC(NC=O)C1(C)CC1,37.836
O=C(C#N)C1(CO1)C#N,27.856
CCC#CC(N)CC#N,36.834
CC12CC=CC1N1CC21,30.786
COC12CC3C(C1)C3C2,30.962
CC(C)c1ccn(c1)C,36.547
NC1=CN2CC(O)C2=C1,31.275
CC12CC(C1)C(O)C2=O,32.291
CC1C2N1C(=O)OC2=N,28.262
O=C1OC2(CC#N)CC12,27.991
OC1C(CC=O)C1C#N,32.297
N#CC1C2CC3CC2C13,27.167
CC12OC3C1CC23C#N,29.347
CC12CC1OC1CC1O2,31.146
OC1(C#N)C2CC2C1=O,29.597
CC1=CC(NC1=O)(C)C,36.219
OCC12COC1C(=N)O2,29.667
OC12CN3C4C3C1OC24,25.588
CC(NC=O)C(N)=O,30.965
CN1C2CC(C=O)C12,28.231
CNC(=[NH+]C)C([O-])=O,30.867
OC1C2C1C1=CCCC21,30.489
CC1=CCCC2NC12,28.996
C#CCc1ccc(o1)N,32.386
CC1(CC2CC2N1)C#N,32.474
CC12CCC(C1)OC2,28.521
CCC(C)OCC1CO1,38.17
CC(CO)OCCO,34.869
CC1OC(=N)NC(=O)O1,29.039
O=C1C2NC1C=C2,20.004
c1c(onc1O)C=O,23.347
CC1OC2C1OC2(C)C,35.066
CCOCC1CC1C=O,35.933
CC1C2(C)OC(=N)C12O,34.623
O=CCC1(CN1)C=O,28.275
CC(=O)C12CN1CC2=O,30.701
CC12CC3(C)CC1(O)C23,35.469
CC(C=O)C1C2COC12,32.268
CC12NC1CC1CC21O,33.287
NC(=O)C1CCC1C=O,32.319
CC1C2C(C)CCC12C,38.167
C#CC1CC2CCC1O2,30.255
OC(CCCC#C)C=O,36.5
CC12CC3C4OC3C1C24,27.914
CC1COC11CC2OC12,31.165
CC(O)C12CC(C1)C2C,36.94
C1C=CNC(=O)C=CN1,30.552
c1c(oc(=O)o1)CC#N,26.102
CC12C3C1N1C3C(O)C21,29.355
O=C1C2CC3OC2C13,22.183
CC12OC1C1CC2(C)C1,32.951
CC1CC(CO)C1C=O,36.16
Cc1c(oc(n1)NC)N,34.341
Cc1cc(cnc1C)F,31.017
CC1C(C)C23CN(C2)C13,33.865
CC1CC23CCC2(C1)O3,32.171
CC1OC2CC12,21.073
C1CC23OC2CC=CC13,29.284
O=CC1COC(=O)N1,24.34
COCCCC(C)C=O,39.19
c1c[nH]c(c1O)CC=O,31.594
CC12C3OC1(C)COC23,31.735
OCCC(O)(C#C)C#N,36.4
OC12CC3C1C2C3C=O,29.915
N=C1OC2CCC2C1=O,27.809
CC1CN=C2OCCC12,30.345
CCC1CC(C1)(C)C,36.653
NC1(CC2OCC12)C#N,30.598
CC1CC2COC1(C)C2,34.213
CC(C)(CC(=O)C#C)O,38.001
CCC#CCOC(C)C,40.59
CC1OC2C(C#C)C12O,33.894
CC12CC3C1C2NC3=O,29.863
CCC1(CC(C)O1)C=O,36.463
OC12CC1COC2C#N,29.958
OC12CC3C=CC1CC23,29.702
C(=O)c1c(n[nH]n1)C=O,25.526
CN=CNc1ncon1,28.775
O=C1CNC(C#C)C1=O,29.788
CC1CC2OCCC12,28.81
OC1C2OC1C2(O)C#N,29.614
N=C1NC(=O)NN=C1,23.509
CC(C)CC(=O)C(C)O,40.41
CCOCC#CC#N,29.896
CC12CC(C)(O1)C21CC1,35.555
c1c(nc(n1C=O)N)O,29.791
OCCC1COC1C#C,34.817
CCC12CC(O)CC1N2,34.938
N#CCN1C2CC=CC12,29.078
CC12C=CC3(C)CC1N23,32.479
CN=C1NN=C(C)C=C1,32.232
CC12OC(=O)C3OC1C23,26.972
CN1CC2(C1)OC2C#N,31.286
COCC(O)C1(O)CC1,38.058
NC1(C#N)C2CCC1O2,30.084
CC1CCN=CO1,24.515
OC12CN3C4CC1C4C23,27.61
CC12CC3(COC13)CC2,31.725
O=C1C2C3C1C1(CC1)N23,27.573
CC1C2CC(=CC12)C#C,33.063
CC1C2C(O)C1C21CC1,34.484
NC(=O)N1CC1C1CO1,31.789
Cc1coc(n1)COC,32.091
CNc1cc(n[nH]1)O,28.744
CC(CC1CC1)C(N)=O,38.155
N=C1CNCCO1,23.356
OC1C2CCC1C21CN1,31.482
ON=C1CN2C(C#N)C12,28.777
CNc1cc(oc1N)N,35.083
CC(C)C1(CCC1)OC,40.166
COC12CC1CCC2O,34.654
CN(C)C(=N)C(=O)C#N,33.433
CC(CCO)N1CC1C,39.965
c1coc(c1O)CO,27.554
C(N=C1CCO1)C1CO1,30.633
CC12CC3CC(C=C1)C23,30.85
CC1=CNC(=N)C1=O,27.361
CC1CN(C1)CC=O,30.879
OCC1C(C=O)C2CN12,31.739
O=CN1CC2CCN=C12,28.372
CC1C(O)C1(C#C)C#N,34.766
Cc1c(n[nH]n1)CC#C,31.329
OCC1CCC(CO)C1,37.007
CC(O)C(C)C(C)CO,43.35
Cc1c(c[nH]c1C#C)O,34.125
C1CC2OC3C(O2)C3O1,26.248
CNc1ncc(nn1)N,31.153
C1C2(COC2)OC(=N1)N,29.79
CC(=O)COC,24.783
CC12C=CC3CC1C2O3,29.269
CN1CCCCNC1=O,33.676
CC1(CCOC1=N)C#C,33.353
O=C1NC2CC11OCC21,27.237
N#CC1CC2OCC12,24.944
CCC1CC1(CO)OC,39.733
O=C1CCC(=O)C2OC12,27.846
COC1CCC1CO,32.658
CC12NC3C1OC23,22.282
CCC(C)(C=O)C1CC1,38.758
CC1CCC(O)CO1,31.052
CC12CC(C1)CC2CO,35.155
c1cnn(c1N)C2CC2,31.116
CC(C)C#CC(C)(C)O,42.614
CCCC1N=CNC1=N,33.811
OC1COC11CCC1=O,31.436
NC1=NOC(=O)OC1=N,27.766
CC(O)C1=C(N)N=CO1,32.538
C#CC1OC1C1CC1,29.135
CC1(CCO)CN2CC12,35.99
C1OC2CC3CC(C3)C12,28.856
CC12C3C(C=O)C1CN23,30.169
COCC(O)C(C)=NO,38.297
N=C1NC(=N)C2CC1O2,27.685
CC1C(CO)N1CC#C,37.029
C1C(CC(=O)C1=O)O,27.123
NC1(C#N)C2NC1C=C2,29.411
Cc1c(c(ccn1)F)N,30.768
CC(C)(C)OC(C)(C)C,45.934
OC12CC1CCCC=C2,33.56
OC1CC(=N)OC1C#C,31.907
CCc1cc([nH]c1)CO,34.926
CC1CC1OCC1CC1,36.645
CC12CC1C=CC21CN1,32.249
O=CNC1CC(C1)C=O,32.154
CCC1CC(=O)OCO1,32.161
c1c(noc1N2CC2)N,29.613
CCC1OC(C=C1)C#C,34.066
C1OC11CCC11CO1,27.012
CC1=CCC2COC12C,33.683
CC1C(C)(O)C1(O)C#N,37.043
CC(COC(C)=N)C#C,37.929
CC12C3CC4C(C14)C23,26.19
CC1C(C=O)C11CCC1,34.655
C1CC23OC2CCC=C13,29.77
CC(C#C)C#CC1CO1,34.481
OC12C3NC11COC2C31,26.815
CC12OC1CC(O)C2O,32.751
CC1C2OC3C2N1C3=O,27.24
OCC1(CC1O)C#C,31.775
C1C2OCOCC=CC12,30.206
CC1CCN2C=CC=C12,30.705
c1(=O)c(nonc1N)N,29.892
O=C1CCC1C#CC#C,31.795
N=C1OCC2OC1C2=O,26.251
OCC1CC2COCC12,32.109
COC(C[NH3+])CC([O-])=O,35.804
OCC12CN(C1)C2C#N,30.716
CC1OC1(C)C(C)=O,33.306
Cc1c[nH]c(c1N)OC,36.107
CC(=O)C#CC#CC=O,31.349
NC(=O)CC1(CN1)C#C,34.265
CC1C2CC(=O)C12C,30.572
O=C1OCC(O1)C#N,22.388
CC1OC2CC2C(=O)O1,29.804
CCC(CO)C1CC1O,39.511
OCC12OC3C1OC23,25.194
CC(CC(O)C#C)C#C,38.817
CCCN1CC(=NO)C1,36.155
CC1(C=CCC(=O)O1)C,33.7
CC1(OC(=N)C1N)C#C,34.985
COC1C(O)CC1C=O,34.175
CC1C=CCC1(C)C#N,34.422
CC1CCN1CC=O,31.003
CN=C1OCC(C)C1O,34.523
ON=C1C2OC2C11CN1,29.328
C1N2CC3CCOCC123,29.541
CCCC1C2OC1C2C,36.013
C(C#CC(=O)C(=N)N)O,34.123
CC1(C)OC1(C)CC#N,37.663
CC(C)C(C)C(C)C=O,42.072
O=C1C2CCC22CCN12,28.709
CCN(CC(=O)N)C=O,35.246
N=CN1C(=O)CC11CC1,30.961
CC12CCOC1C(=O)O2,29.374
CC1(C)C2COC12C#N,33.03
C1CC23OC4CC2OC134,26.372
NC(C#CC#N)C(N)=O,33.101
CN1CC1CCCO,34.287
O=CCN=C1OC2CC12,29.629
CC1C2CC1C(C)(C)O2,36.169
N=C1NC(C#C)C11CO1,31.103
COCC1NCC1C#N,33.182
COC(=O)C(N)C1CN1,34.563
COCC1(C)C2CC1C2,35.372
CC1CN(C1)C(=O)C=O,32.497
CC1C2(O)CNC12C#N,32.962
CN1N=NC(=N)N=C1F,27.328
COCCC1(C)CCO1,37.474
N=C1OC2CNC(=O)C12,26.971
CC#CC(C#C)(C#C)N,37.802
CC12NC(C1O)C21CN1,32.516
CCC12CC1CC(=N)O2,32.935
O=CCCC1OC2CC12,31.863
C1CN1CCCCC#N,35.062
CNC(=O)NCCC#N,35.396
OCC12OCC1OC2=O,28.718
CCc1c(nc[nH]1)C#N,29.977
C#CC12CN3CCC1C23,29.678
c1c(oc(n1)O)NC=O,27.388
CCC1OC2C(O)C12,29.797
OC1(C=O)C2CC(=O)C12,29.748
CC1CNC(=O)NC=C1,32.286
NC1=CC(N)=C2CCN12,32.481
CCc1c(nc([nH]1)O)O,33.619
CC1(OC2CNC12)C#C,32.776
C#CC12C3C1N1C3CC21,27.292
CC1CC2OC3C2C13C,32.512
Cc1cnc([nH]1)COC,33.193
c1cn(c(c1N)N)C=O,32.201
NC12CC1(O)COC2=O,30.873
OCC(=O)C1CO1,24.51
CC(N)C#N,19.946
c1c[nH]nc1CN2CC2,29.554
COCC(=O)C#CC#N,31.513
CC(=Nc1nc[nH]n1)N,30.752
CCC1C2C3CC2(C)N13,34.158
O=C1CCC2N=COC12,26.595
COCC1C2CC1OC2,32.001
CCC1(C)C2CC1C2,32.309
OCC1(CO)NC1C#C,35.155
c1(=O)[nH]nn[nH]1,15.761
FC1=NC(F)=NC(=N)N1,24.402
CC#CC1CN(C)C1=O,34.028
CC12CCC3C1CC23O,32.976
CCCC1CNC(=O)N1,34.486
CCC(O)C1(C)CCC1,40.366
COC(CC(N)=O)C#C,36.64
c1c(c(c(o1)O)N)N,29.736
C#CC1CC2(OC12)C#C,31.571
OC1C23CCC12OCC3,30.949
CC(OCCC=O)C#C,36.772
CC1(C=C(CO1)C=O)C,34.119
CC(=NO)C1CN=CO1,31.515
COC(=N)N1CCC1=N,32.448
CC(O)(C1CN1)C(N)=O,36.223
CCOC1C2OC2C1C,34.827
CN=C(CC1CC1)OC,37.459
OCC1(CCO1)C1CC1,34.333
CC1CC2=CN=C(O)N12,29.877
CC1CC2=NC(O)=CN12,30.174
CCC1(CC1)OC=O,31.359
COC1OCCNC1=N,32.874
CCn1c(cc(n1)C)N,35.46
CN1CC2(C)OC2C1=O,31.946
CN(CC(=O)OC)C=O,34.396
C1CC(O1)C1CCC=C1,31.318
OC1(C#C)C2OC2C1=O,30.275
CCC(C)(CCO)C#N,39.908
O=CCC12CC(C1)OC2,30.493
OC1=C(OC=N)OC=N1,27.718
COc1c(cno1)C#C,29.773
COC1COC1C(N)=O,33.117
O=C1NC(=O)C2CCC12,27.479
c1c[nH]c2c1onn2,21.191
CNc1cc(oc1)C=O,30.487
CCN(CC)C(=O)OC,38.507
CCOC1CC2COC12,32.916
CC(=O)C12CCC1(C)O2,34.418
COC12CC1COC2C,34.364
ON=C1C2CC2C1O,28.159
Cc1c(nco1)NC=O,28.781
Cc1cnc(n1C)OC,33.92
CCC12CC1(O)C1CN21,33.905
CC1OCC(O)C1=O,28.791
CC1(CO1)C(O)C1CO1,34.088
c1c[nH]c2c1CC(=O)C2,27.825
CC1=NC=NC(=O)C=N1,27.695
COCCC(O)CC#C,39.183
Cc1c[nH]cc1OC,30.359
CC(C)(C)C1(CO1)C#N,37.168
CC12CC1(C)CC=CC2,35.958
CC1(O)C2OC(=N)C12O,33.177
OC1CC(O)C(O)C1,30.743
NC12CC1(O)CC2C#N,33.076
CC(CC#N)NC(C)=O,36.595
C#Cc1cnoc1C=O,27.132
CC1C2C3OC4C3N1C24,26.471
CC1=C(F)C(=N)N=CO1,28.23
CC1=C(CC(=NO)C1)C,35.915
CN(C)c1c[nH]cc1O,34.633
C1CC2C1C1CCC21,27.119
CN=COCC(C)C#C,37.868
CC1=CC2(C)C3OC2C13,31.727
CNC(=O)CC(C)C#N,36.256
O=C1CC(N1)C1CC1,28.39
c1c(c(c(nn1)N)N)F,29.075
C#CC1OCC2CC1C2,30.696
OCC(=O)CC1CC1O,35.348
CC1CC(CO1)C#C,30.504
CN1C2CN3CC1(C)C23,32.276
N=C1NC2=C(ON=C2)O1,24.884
OC12CC3OC1C23C#C,30.059
CC1CC2(COC2)O1,28.701
C1CC(=C(C1)N)C(=O)N,34.268
C1=CN(C(=O)C1=O)C=O,26.167
Cc1c(ncc(n1)O)O,29.81
OCC1CC=CC2OC12,31.64
CC1(C)CC(=N)OC1=O,32.787
CC12CCCC(O1)C2=O,31.47
CN(C)c1c[nH]nc1N,34.544
C1OC2C3C4OC13C24,21.702
O=C1CC2OC3C(O2)C13,25.14
CN1CC1(CC#N)C#N,32.252
C(CO)COCCO,34.481
NC1=CNN=C(O)C1=N,30.933
CC1=C(N)CCOC1=N,33.828
c1[nH]c(c(n1)C=O)N,25.888
CN1C=NOC1=N,22.06
CCC1(C)OC1C(N)=O,37.31
OC1C2OC3C2OCC13,26.471
OCC1CN1C(=N)C=O,31.683
CC#CCC(N)C#N,32.271
CC(C)(CC=O)C1CC1,38.708
C1CC2CC(CCO2)O1,29.931
CC1CC2(C1)CCOC2,34.282
CC(O)C(C)OCC#N,37.63
CC1C2OCC(C#N)C12,30.808
CN1N=C(C)N=CC1=N,31.163
C1C2C3C4C5OC5C13N24,24.32
CC12COC1CC1CN21,30.701
CCC#CC1CC(=N)O1,33.229
COC1C2CC2C1OC,34.374
Cc1c(ocn1)CO,27.397
CC(=O)C1COCO1,27.72
CC12CN1C(C#N)C2O,32.309
Cc1c2c(no1)ocn2,24.845
CNCC(=O)OCC=O,34.487
Cc1cnc(c(n1)N)F,30.046
c1c(nc([nH]1)N)N(=O)=O,27.57
C1CC1(CCO)CO,34.346
c1c(onn1)CCO,26.24
CCC12CC1C(C)C2C,39.074
CC1=[NH+]CC(N1)C([O-])=O,30.98
C#CC1CC2CC(C1)O2,30.74
CC1N2C(CC12C)C=O,34.457
CC1(C)CC2CC12C#C,36.784
CC12C3C4C5C(C5N13)C24,26.7
C1C2C3COCCC1N23,29.018
CC1(O)CC2(C)COC12,35.884
CCCCCOC(=O)C,39.075
Cc1c(c(no1)NC)N,34.499
OCC1=CCC2(CN2)C1,33.402
CC(=O)OC(C)(C)C#N,36.381
CN(CC(O)C#N)C=O,34.272
CNc1c(c(c[nH]1)O)O,34.762
CC(COC1CC1)C=O,36.145
CC1(C)C2C(O)C(=O)N12,34.03
O=C1COC11C2CC1C2,28.059
CCCC(C)C(F)(F)F,36.659
C1C2CC3CC=CC2C13,28.321
CCN1CC11CC2OC12,32.766
CCC#CCCCOC,39.644
CC(NCCC#N)C#C,36.795
C1C2CCN=COCC12,30.994
CC1OC2C1C2(O)CO,34.064
Cc1cnc(c(=O)o1)N,30.548
CC1CCOC2CN1C2,32.626
N=C1COCC(O1)C#C,30.333
COC(C)CC1(O)CC1,39.647
COc1cnc([nH]1)CO,31.929
COC1CC(C1)C(C)C,39.597
CC1(O)C2CC11CCC21,33.813
CC1OC(C)C(C)=C1C,38.643
CC(O)C1=NNC=C1N,34.106
C1CC12CNC(=O)C2=O,29.304
OCC(=O)N1CC1C#C,32.877
